Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Mercedes-Benz,E300,E-Class,1987,100.000-105.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Classic Car,>2.000 - 3.000 cc,45000000
Toyota,TRD Sportivo,Rush,2013,45.000-50.000 km,Bensin,Putih,Manual,4X2,SUV,>1.000 - 1.500 cc,175000000
Daihatsu,F50 2.5L,Taft,<1986,>300.000 km,Diesel,Biru,Manual,4X4,Jeep,>2.000 - 3.000 cc,60000000
Honda,RS CVT,Jazz,2013,50.000-55.000 km,Bensin,Putih,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,177000000
Daihatsu,TX,Terios,2011,70.000-75.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,138000000
Suzuki,GL,Ertiga,2016,50.000-55.000 km,Bensin,Hitam,Manual,?,Minibus,>1.000 - 1.500 cc,150000000
Honda,2.0,CR-V,2007,110.000-115.000 km,Bensin,Abu-abu,Automatic,All Wheel Drive (AWD),Compact & City Car,>1.500 - 2.000 cc,120000000
Nissan,1.2L,March,2011,50.000-55.000 km,Bensin,Silver,Automatic,4X2,Minibus,>1.000 - 1.500 cc,78000000
Toyota,G,Avanza,2015,35.000-40.000 km,Bensin,Putih,Manual,?,?,?,146000000
Honda,2.0 i-VTEC,CR-V,2007,110.000-115.000 km,Bensin,Abu-abu,Automatic,All Wheel Drive (AWD),Compact & City Car,>1.500 - 2.000 cc,120000000
Suzuki,SGX Arena,APV,2017,20.000-25.000 km,Diesel,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,162000000
Nissan,1.2L,March,2011,115.000-120.000 km,Bensin,Putih,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,89000000
Honda,1.5,Freed,2010,70.000-75.000 km,Bensin,Putih,Automatic,4X2,Minibus,>1.000 - 1.500 cc,145000000
Jeep,Lain-lain,Lain-lain,2017,30.000-35.000 km,Bensin,Biru,Manual,4X4,Offroad,>3.000 cc,330000000
Honda,VTEC,City,2000,195.000-200.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,53000000
Nissan,Lain-lain,Grand livina,2016,30.000-35.000 km,Bensin,Putih,Manual,?,?,?,150000000
Honda,E Special Editon,HR-V,2018,5.000-10.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,290000000
Fiat,Lain-lain,125,<1986,105.000-110.000 km,Bensin,Kuning,Manual,?,Sedan,>1.000 - 1.500 cc,35000000
Toyota,G,Avanza,2016,50.000-55.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,158000000
Daihatsu,X,Xenia,2016,50.000-55.000 km,Bensin,Coklat,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,107000000
Daihatsu,TX,Terios,2008,90.000-95.000 km,Bensin,Coklat,Manual,Front Wheel Drive (FWD),Jeep,>1.000 - 1.500 cc,109000000
Daihatsu,TX,Terios,2013,40.000-45.000 km,Bensin,Hitam,Manual,?,Minibus,>1.000 - 1.500 cc,128000000
Toyota,G Luxury,Innova,2013,50.000-55.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.500 - 2.000 cc,173000000
Toyota,Veloz,Avanza,2016,15.000-20.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,169000000
Toyota,SGX,Kijang,1996,55.000-60.000 km,Bensin,Hijau,Manual,?,Minibus,>1.500 - 2.000 cc,55000000
Toyota,J,Yaris,2012,45.000-50.000 km,Bensin,Abu-abu,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,125000000
Nissan,Lain-lain,Grand livina,2013,50.000-55.000 km,Bensin,Marun,Automatic,4X2,MPV,>1.000 - 1.500 cc,135000000
Volkswagen,TSI,Golf,2012,50.000-55.000 km,Bensin,Hitam,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,175000000
Toyota,2.5 G,Alphard,2016,0-5.000 km,Bensin,Silver,Automatic Triptonic,All Wheel Drive (AWD),Minibus,>2.000 - 3.000 cc,850000000
Mazda,2.5,CX-7,2012,70.000-75.000 km,Bensin,Hitam,Automatic Triptonic,4X2,SUV,>2.000 - 3.000 cc,205000000
Toyota,L Hybrid,Camry,2013,55.000-60.000 km,Bensin,Silver,Automatic,4X2,Sedan,>2.000 - 3.000 cc,285000000
Suzuki,Lain-lain,Carry Pick-up,2005,75.000-80.000 km,Bensin,Merah,Manual,4X2,Pick-up,>1.000 - 1.500 cc,37900000
Toyota,Lain-lain,Starlet,1990,180.000-185.000 km,Bensin,Biru,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,28000000
Honda,E,Brio,2014,60.000-65.000 km,Bensin,Abu-abu,Automatic,?,?,?,121000000
Honda,?,Brio,2019,0-5.000 km,Bensin,Kuning,Manual,?,?,?,150500000
Mitsubishi,GLX M/T,Xpander,2019,0-5.000 km,Bensin,Lainnya,Automatic,All Wheel Drive (AWD),MPV,>1.000 - 1.500 cc,214000000
Chevrolet,Lain-lain,Captiva,2013,50.000-55.000 km,Diesel,Hitam,Automatic Triptonic,4X2,SUV,>1.500 - 2.000 cc,165000000
Datsun,Panca T,Go+,2018,15.000-20.000 km,Bensin,Abu-abu,Manual,4X2,MPV,>1.000 - 1.500 cc,88500000
Honda,2.0,CR-V,2010,100.000-105.000 km,Bensin,Coklat,Automatic,4X2,Hatchback,>1.500 - 2.000 cc,135000000
Daihatsu,Extra X,Terios,2016,25.000-30.000 km,Bensin,Silver,Manual,?,?,?,150000000
Mitsubishi,2.4,Grandis,2005,105.000-110.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,70000000
Suzuki,GX,APV,2011,>300.000 km,Bensin,Silver,Manual,?,?,>1.000 - 1.500 cc,70000000
Honda,Satya E,Brio,2017,10.000-15.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,116000000
Toyota,G,Innova,2013,50.000-55.000 km,Diesel,Hitam,Automatic,4X2,MPV,>2.000 - 3.000 cc,220000000
Suzuki,GL,APV,2013,260.000-265.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,78500000
Toyota,TRD Sportivo,Agya,2016,70.000-75.000 km,Bensin,Hitam,Manual,?,Compact & City Car,>1.000 - 1.500 cc,105000000
BMW,320i Luxury,Serie 3,2013,55.000-60.000 km,Bensin,Silver,Automatic,?,?,>1.500 - 2.000 cc,305000000
Daihatsu,1.3,Xenia,2016,45.000-50.000 km,Bensin,Putih,Manual,4X2,Minibus,>1.000 - 1.500 cc,140000000
