Merek,Varian,Model,Tahun,Jarak tempuh,Tipe bahan bakar,Warna,Transmisi,Sistem Penggerak,Tipe bodi,Kapasitas mesin,Harga
Honda,RS,Jazz,2016,55.000-60.000 km,Bensin,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,205000000
Nissan,Lain-lain,Livina,2012,85.000-90.000 km,Bensin,Putih,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,108000000
Chevrolet,Lain-lain,Lain-lain,2013,100.000-105.000 km,Bensin,Hitam,Manual,4X2,?,>1.000 - 1.500 cc,94000000
Honda,2.0 i-VTEC,CR-V,2013,145.000-150.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.500 - 2.000 cc,195000000
Honda,1.3,Civic,<1986,>300.000 km,Bensin,Biru,Manual,?,Sedan,>1.000 - 1.500 cc,16000000
Suzuki,Cross Over,SX4,2008,95.000-100.000 km,Bensin,Abu-abu,Automatic,4X2,?,>1.000 - 1.500 cc,78000000
Suzuki,GL,Ertiga,2017,30.000-35.000 km,Bensin,Silver,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,130000000
Toyota,G,Vios,2012,100.000-105.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,73000000
Mitsubishi,?,Xpander,2019,0-5.000 km,Bensin,Lainnya,Automatic,?,?,?,247100000
Daihatsu,X 1.3 STD,Xenia,2015,60.000-65.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,130000000
Toyota,G Basic,Avanza,2009,105.000-110.000 km,Bensin,Hijau,Manual,?,?,>1.000 - 1.500 cc,90000000
Isuzu,Lain-lain,D-Max,2010,145.000-150.000 km,Diesel,Putih,Manual,?,Double Cabin,>2.000 - 3.000 cc,105000000
Honda,Vti,Accord,2005,115.000-120.000 km,Bensin,Lainnya,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,45000000
Honda,E,Mobilio,2016,5.000-10.000 km,Bensin,Putih,Automatic,4X2,MPV,>1.000 - 1.500 cc,150000000
Toyota,TRD Sportivo,Agya,2019,0-5.000 km,Bensin,Silver,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,160000000
Nissan,Lain-lain,Grand livina,2011,100.000-105.000 km,Bensin,Silver,Manual,?,?,?,98000000
Toyota,TRD Sportivo,Yaris,2018,0-5.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,205000000
Daihatsu,R 1.3 DLX,Xenia,2017,50.000-55.000 km,Bensin,Putih,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,142000000
Land Rover,Lain-lain,Lain-lain,<1986,50.000-55.000 km,Bensin,Hijau,Manual,4X4,Offroad,>2.000 - 3.000 cc,78000000
Ford,Trend,Ecosport,2014,105.000-110.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,130000000
Honda,1.5 Hybrid,CR-Z,2014,5.000-10.000 km,Bensin,Merah,Automatic Triptonic,4X2,Sports & Super Car,>1.000 - 1.500 cc,332000000
Toyota,G,Avanza,2018,10.000-15.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,151000000
Suzuki,Lain-lain,Carry,1990,35.000-40.000 km,Bensin,Merah,Manual,4X2,Hatchback,>1.000 - 1.500 cc,18000000
Toyota,G,Avanza,2015,55.000-60.000 km,Bensin,Abu-abu,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,150000000
Toyota,S,Avanza,2009,100.000-105.000 km,Bensin,Hitam,Automatic,4X2,Minibus,?,71000000
Toyota,?,Avanza,2019,0-5.000 km,Bensin,Hitam,Manual,?,?,?,159500000
Mercedes-Benz,C200,C-Class,2009,90.000-95.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),Sedan,>1.500 - 2.000 cc,190000000
Toyota,V,Sienta,2016,70.000-75.000 km,Bensin,Oranye,Manual,?,?,>1.500 - 2.000 cc,186000000
Mini Cooper,Lain-lain,Mini Cooper,2010,5.000-10.000 km,Bensin,Merah,Automatic Triptonic,Rear Wheel Drive (RWD),Compact & City Car,>1.500 - 2.000 cc,469000000
Toyota,G,Avanza,2015,10.000-15.000 km,Bensin,Coklat,Manual,4X2,Minibus,>1.000 - 1.500 cc,135000000
Honda,S,Mobilio,2014,75.000-80.000 km,Bensin,Putih,Manual,?,Minibus,>1.000 - 1.500 cc,132000000
Honda,2.4,CR-V,2012,95.000-100.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,175000000
Hyundai,Lain-lain,Cakra,1996,15.000-20.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,20000000
Mitsubishi,Pick Up,T120SS,2004,25.000-30.000 km,Bensin,Hitam,Manual,4X2,Pick-up,>1.000 - 1.500 cc,36000000
Daihatsu,R 1.3 DLX,Xenia,2013,45.000-50.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,102000000
Toyota,TRD Sportivo,Agya,2016,30.000-35.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,105000000
BMW,325i 2.5,Serie 3,2011,65.000-70.000 km,Bensin,Hitam,Automatic Triptonic,4X2,Sedan,>2.000 - 3.000 cc,243000000
Mitsubishi,Lain-lain,Outlander,2013,75.000-80.000 km,Bensin,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,162000000
Toyota,G,Rush,2010,100.000-105.000 km,Bensin,Silver,Manual,4X2,Jeep,>1.000 - 1.500 cc,125000000
Honda,E,Brio,2015,35.000-40.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>1.000 - 1.500 cc,90000000
Honda,E,Mobilio,2014,50.000-55.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>1.000 - 1.500 cc,130000000
Toyota,V,Sienta,2018,10.000-15.000 km,Bensin,Silver,Automatic,?,?,>1.000 - 1.500 cc,211000000
Mazda,Lain-lain,Lain-lain,1990,150.000-155.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,26000000
Nissan,?,Grand livina,2012,95.000-100.000 km,Bensin,Abu-abu,Manual,?,?,?,85000000
?,?,?,?,?,?,?,?,?,?,?,?
Toyota,4.6,Land Cruiser,2008,80.000-85.000 km,Bensin,Hitam,Automatic,4X4,SUV,>3.000 cc,925000000
Honda,RS,Jazz,2016,35.000-40.000 km,Bensin,Hitam,Automatic Triptonic,?,?,?,198000000
Nissan,?,X-Trail,2018,5.000-10.000 km,Bensin,Abu-abu,Automatic Triptonic,?,SUV,>2.000 - 3.000 cc,348000000
Mitsubishi,Lain-lain,Outlander,2016,5.000-10.000 km,Bensin,Merah,Automatic,4X2,Compact & City Car,>1.500 - 2.000 cc,245000000
Toyota,G,Innova,2012,100.000-105.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,168000000
Mitsubishi,V6,Pajero Sport,2015,30.000-35.000 km,Bensin,Putih,Automatic Triptonic,Rear Wheel Drive (RWD),Jeep,>2.000 - 3.000 cc,258000000
Honda,i-DSI,Jazz,2004,15.000-20.000 km,Bensin,Merah,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,73000000
Daihatsu,1.2 R,Sigra,2017,15.000-20.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,109000000
Mitsubishi,Dakar,Pajero Sport,2016,60.000-65.000 km,Diesel,Putih,Automatic,4X4,Jeep,>2.000 - 3.000 cc,492000000
Suzuki,GL,Splash,2010,170.000-175.000 km,Bensin,Coklat,Manual,4X2,Minibus,>1.000 - 1.500 cc,73500000
Honda,2.0,CR-V,2010,65.000-70.000 km,Bensin,Silver,Automatic,?,SUV,>1.500 - 2.000 cc,150000000
Honda,1.7,Stream,2002,15.000-20.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),MPV,>1.500 - 2.000 cc,63000000
Mitsubishi,Lain-lain,Pajero,2009,100.000-105.000 km,Diesel,Hitam,Automatic,Rear Wheel Drive (RWD),Jeep,>2.000 - 3.000 cc,225000000
Mitsubishi,Exceed,Pajero Sport,2012,70.000-75.000 km,Diesel,Putih,Automatic Triptonic,Rear Wheel Drive (RWD),Jeep,>2.000 - 3.000 cc,228000000
Honda,VTi-L,Accord,2008,65.000-70.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,128500000
Mercedes-Benz,C180,C-Class,1995,150.000-155.000 km,Bensin,Hijau,Automatic,4X2,Sedan,>1.500 - 2.000 cc,55000000
Toyota,TRD Sportivo Heykers,Yaris,2016,40.000-45.000 km,Bensin,Hitam,Automatic Triptonic,All Wheel Drive (AWD),Hatchback,>1.000 - 1.500 cc,169000000
Toyota,E,Avanza,2014,105.000-110.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,116000000
Suzuki,Lain-lain,Grand vitara,2007,100.000-105.000 km,Bensin,Abu-abu,Automatic,Rear Wheel Drive (RWD),Jeep,>1.500 - 2.000 cc,91000001
Toyota,VRZ,Fortuner,2017,25.000-30.000 km,Diesel,Hitam,Automatic Triptonic,Rear Wheel Drive (RWD),Jeep,>2.000 - 3.000 cc,460000000
Toyota,G,Avanza,2014,55.000-60.000 km,Bensin,Putih,Manual,?,?,?,137000000
Hyundai,?,New Tucson,2017,40.000-45.000 km,Diesel,Abu-abu,Automatic Triptonic,?,SUV,>1.500 - 2.000 cc,313000000
Honda,S CVT,HR-V,2016,35.000-40.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),SUV,>1.000 - 1.500 cc,212000000
Nissan,Lain-lain,X-Trail,2011,115.000-120.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,113500000
Toyota,G,Avanza,2019,0-5.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,183950000
Suzuki,GL MT ,Ignis,2019,10.000-15.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,120000000
Toyota,G,Innova,2005,215.000-220.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,95000000
Mitsubishi,Pick Up,L300,2014,85.000-90.000 km,Diesel,Hitam,Manual,4X2,Pick-up,>2.000 - 3.000 cc,135000000
Datsun,Panca T,Go+,2015,35.000-40.000 km,Bensin,Putih,Manual,4X2,Hatchback,>1.000 - 1.500 cc,79000000
Toyota,G,Sienta,2017,10.000-15.000 km,Bensin,Putih,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,161500000
BMW,318i,Serie 3,1988,205.000-210.000 km,Bensin,Biru,Manual,Rear Wheel Drive (RWD),Classic Car,>1.500 - 2.000 cc,20000000
Ford,XLT,Escape,2008,80.000-85.000 km,Bensin,Coklat,Automatic,4X2,SUV,>2.000 - 3.000 cc,84500000
Datsun,?,Go+,2015,15.000-20.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,77000000
Toyota,?,Vios,2010,65.000-70.000 km,Bensin,Hitam,Manual,4X2,Sedan,>1.000 - 1.500 cc,75000000
Honda,i-DSI,City,2008,115.000-120.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,90000000
Daihatsu,Xi,Xenia,2005,170.000-175.000 km,Bensin,Silver,Manual,4X2,Minibus,>1.000 - 1.500 cc,85000000
Suzuki,GX,Ertiga,2016,35.000-40.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,135000000
Honda,VTEC,City,2000,200.000-205.000 km,Bensin,Silver,Automatic,Rear Wheel Drive (RWD),Sedan,>1.000 - 1.500 cc,53500000
Suzuki,Lain-lain,Carry Pick-up,1991,>300.000 km,Bensin,Putih,Manual,4X2,Pick-up,<1.000 cc,16500000
Toyota,G,Innova,2008,120.000-125.000 km,Diesel,Silver,Manual,Rear Wheel Drive (RWD),Minibus,>2.000 - 3.000 cc,158000000
Toyota,E,Calya,2017,70.000-75.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,125000000
Nissan,Autech,Serena,2016,30.000-35.000 km,Bensin,Putih,Automatic,?,MPV,>1.500 - 2.000 cc,265000000
Toyota,V,Innova,2016,20.000-25.000 km,Bensin,Abu-abu,Manual,?,?,?,260000000
Honda,S,Freed,2013,65.000-70.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,148000000
BMW,520i E60 2.2 l6,Serie 5,2005,180.000-185.000 km,Bensin,Hitam,Automatic Triptonic,4X2,Sedan,>2.000 - 3.000 cc,83000000
Isuzu,2.5,Panther,1997,50.000-55.000 km,Diesel,Hijau,Manual,?,?,?,60000000
Toyota,Q Venturer,Innova,2019,0-5.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),SUV,?,400000000
Honda,Satya E,Brio,2014,35.000-40.000 km,Bensin,Silver,Manual,?,Compact & City Car,>1.000 - 1.500 cc,100000000
Toyota,G,Avanza,2010,5.000-10.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Minibus,>1.000 - 1.500 cc,117500000
Toyota,V,Sienta,2017,10.000-15.000 km,Bensin,Oranye,Automatic,?,?,>1.000 - 1.500 cc,191000000
Toyota,G,Innova,2014,75.000-80.000 km,Bensin,Abu-abu,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,190000000
Chevrolet,Lain-lain,Captiva,2008,85.000-90.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,100000000
BMW,318i E36 1.8,Serie 3,1992,120.000-125.000 km,Bensin,Hijau,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,37500000
Daihatsu,Xi Deluxe,Xenia,2010,10.000-15.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Minibus,>1.000 - 1.500 cc,82000000
Toyota,S,Avanza,2011,85.000-90.000 km,Bensin,Silver,Manual,?,?,>1.000 - 1.500 cc,106000000
Suzuki,JLX,Escudo,1995,170.000-175.000 km,Bensin,Hijau,Manual,4X2,Jeep,>1.000 - 1.500 cc,48500000
Toyota,G,Calya,2016,50.000-55.000 km,Bensin,Hitam,Automatic,?,Minibus,>1.000 - 1.500 cc,115000000
Toyota,G,Avanza,2008,120.000-125.000 km,Bensin,Marun,Manual,Rear Wheel Drive (RWD),MPV,>1.000 - 1.500 cc,103000000
Honda,2.0 i-VTEC,CR-V,2014,115.000-120.000 km,Bensin,Putih,Automatic,4X2,SUV,>1.500 - 2.000 cc,208000000
Honda,E,Brio,2017,45.000-50.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,126000000
Mercedes-Benz,Lain-lain,E-Class,1991,170.000-175.000 km,Bensin,Abu-abu,Automatic,?,Sedan,>2.000 - 3.000 cc,78500000
Toyota,4.5 V8 Diesel,Land Cruiser,2013,35.000-40.000 km,Diesel,Hitam,Automatic,?,?,?,1450000000
Daihatsu,R 1.3 DLX,Xenia,2013,90.000-95.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,105000000
Suzuki,GX,Ertiga,2018,15.000-20.000 km,Bensin,Coklat,Automatic,4X2,Minibus,>1.000 - 1.500 cc,178900000
Daihatsu,D,Sirion,2014,45.000-50.000 km,Bensin,Hitam,Manual,Rear Wheel Drive (RWD),Hatchback,>1.000 - 1.500 cc,105000000
Daihatsu,M Sporty,Ayla,2016,50.000-55.000 km,Bensin,Merah,Manual,4X2,Compact & City Car,<1.000 cc,85000000
Daihatsu,?,Xenia,2014,20.000-25.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,115000000
Daihatsu,D,Sirion,2013,45.000-50.000 km,Bensin,Abu-abu,Manual,?,Compact & City Car,>1.000 - 1.500 cc,90000000
Toyota,TRD Sportivo Heykers,Yaris,2017,25.000-30.000 km,Bensin,Hitam,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,189500000
Toyota,TRD Sportivo,Agya,2014,50.000-55.000 km,Bensin,Silver,Automatic,?,?,<1.000 cc,94000000
Nissan,1.2,March,2018,5.000-10.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,120000000
Toyota,1.3,Corolla,<1986,25.000-30.000 km,Bensin,Biru,Manual,Rear Wheel Drive (RWD),Sedan,>1.000 - 1.500 cc,17000000
Timor,1.6,DOHC,2000,135.000-140.000 km,Bensin,Biru,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,28500000
KIA,M/T,Picanto,2008,115.000-120.000 km,Bensin,Hitam,Manual,4X2,Compact & City Car,>1.000 - 1.500 cc,59000000
Toyota,V Luxury,Innova,2007,145.000-150.000 km,Bensin,Abu-abu,Automatic,4X2,MPV,>2.000 - 3.000 cc,105000000
Volkswagen,TSI,Touran,2010,130.000-135.000 km,Bensin,Silver,Automatic,?,?,>1.000 - 1.500 cc,100999999
Honda,2.4 Prestige,CR-V,2013,85.000-90.000 km,Bensin,Silver,Automatic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,238000000
Daihatsu,?,Xenia,2012,175.000-180.000 km,Bensin,Silver,Manual,?,?,?,69000000
Honda,S,Brio,2014,25.000-30.000 km,Bensin,Putih,Automatic,?,?,>1.000 - 1.500 cc,111000000
Toyota,E,Vios,2003,50.000-55.000 km,Bensin,Silver,Manual,4X2,Classic Car,>1.000 - 1.500 cc,60000000
Suzuki,?,Baleno,2019,0-5.000 km,Bensin,Putih,Manual,?,?,?,195000000
Suzuki,GT2,Swift,2008,125.000-130.000 km,Bensin,Biru,Automatic,4X2,Hatchback,>1.000 - 1.500 cc,85000000
Mitsubishi,Dakar,Pajero Sport,2017,45.000-50.000 km,Diesel,Hitam,Automatic,4X2,?,>2.000 - 3.000 cc,465000000
Daihatsu,X,Xenia,2017,15.000-20.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,145000000
Toyota,L Hybrid,Camry,2012,55.000-60.000 km,Hybrid,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Sedan,>2.000 - 3.000 cc,270000000
Toyota,Lain-lain,Voxy,2018,15.000-20.000 km,Bensin,Putih,Automatic,4X2,Minibus,>2.000 - 3.000 cc,410000000
Honda,Satya E,Brio,2014,75.000-80.000 km,Bensin,Silver,Manual,All Wheel Drive (AWD),?,?,105000000
Mitsubishi,Pick Up,L300,1986,45.000-50.000 km,Bensin,Hijau,Manual,4X2,Pick-up,>1.000 - 1.500 cc,24500000
Daihatsu,R 1.3 Sporty,Xenia,2014,90.000-95.000 km,Bensin,Abu-abu,Manual,4X2,SUV,>1.000 - 1.500 cc,125000000
Honda,?,Jazz,2009,160.000-165.000 km,Bensin,Putih,Automatic,?,?,?,103000000
Honda,2.0 i-VTEC,CR-V,2004,275.000-280.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),SUV,>2.000 - 3.000 cc,78000000
Daihatsu,STD,Himax,2016,15.000-20.000 km,Bensin,Hitam,Manual,4X2,Pick-up,<1.000 cc,63500000
Ford,XLT-D,Ranger,2012,40.000-45.000 km,Diesel,Silver,Manual,4X4,Double Cabin,>2.000 - 3.000 cc,123800000
Toyota,G,Alphard,2012,60.000-65.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>2.000 - 3.000 cc,389000000
Mitsubishi,EXCEED M/T,Xpander,2018,30.000-35.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,197000000
Daihatsu,?,Xenia,2015,15.000-20.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,115000000
Daihatsu,X Elegant,Ayla,2015,40.000-45.000 km,Bensin,Putih,Manual,?,?,>1.000 - 1.500 cc,110000000
Toyota,G,Yaris,2015,25.000-30.000 km,Bensin,Putih,Manual,?,?,?,131000000
Toyota,G,Avanza,2013,115.000-120.000 km,Bensin,Silver,Manual,All Wheel Drive (AWD),?,?,122000000
Toyota,LGX-D,Kijang,2001,95.000-100.000 km,Diesel,Silver,Manual,?,?,?,76000000
Suzuki,GX AT ,Ignis,2017,25.000-30.000 km,Bensin,Biru,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,130000000
Honda,1.5,Freed,2010,80.000-85.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,114000000
Toyota,TRD Sportivo,Yaris,2014,90.000-95.000 km,Bensin,Oranye,Automatic Triptonic,4X2,Hatchback,>1.500 - 2.000 cc,167000000
Toyota,Q,Sienta,2017,20.000-25.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,195000000
Toyota,G,Innova,2012,85.000-90.000 km,Diesel,Hitam,Manual,Rear Wheel Drive (RWD),Minibus,>2.000 - 3.000 cc,210000000
Honda,S,Jazz,2013,55.000-60.000 km,Bensin,Abu-abu,Automatic,?,?,>1.000 - 1.500 cc,146000000
Mercedes-Benz,C180,C-Class,2001,10.000-15.000 km,Bensin,Hitam,Automatic Triptonic,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,87000000
Toyota,G,Avanza,2012,175.000-180.000 km,Bensin,Abu-abu,Automatic,4X2,Compact & City Car,>1.000 - 1.500 cc,110000000
Volkswagen,TSI,Golf,2011,90.000-95.000 km,Bensin,Merah,Automatic Triptonic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,150000000
Mitsubishi,SPORT A/T,Xpander,2017,15.000-20.000 km,Bensin,Silver,Automatic,4X2,Minibus,>1.000 - 1.500 cc,200000000
Hyundai,Lain-lain,Matrix,2003,20.000-25.000 km,Bensin,Putih,Manual,All Wheel Drive (AWD),Hatchback,>1.500 - 2.000 cc,48000000
Toyota,4.2,Land Cruiser,1996,>300.000 km,Diesel,Hitam,Manual,4X4,Jeep,>3.000 cc,275000000
Honda,VTEC,Jazz,2006,100.000-105.000 km,Bensin,Abu-abu,Automatic,4X2,Compact & City Car,>1.500 - 2.000 cc,78000000
Honda,E,Mobilio,2014,30.000-35.000 km,Bensin,Silver,Manual,?,?,>1.000 - 1.500 cc,139000000
Nissan,Lain-lain,Grand livina,2011,195.000-200.000 km,Bensin,Abu-abu,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,90500000
Daihatsu,Xi,Xenia,2011,105.000-110.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,90000000
Toyota,Lain-lain,Corolla,1995,125.000-130.000 km,Bensin,Hitam,Manual,?,Sedan,?,47000000
Toyota,G,Avanza,2013,110.000-115.000 km,Bensin,Silver,Manual,All Wheel Drive (AWD),?,?,122000000
Honda,E,Brio,2013,35.000-40.000 km,Bensin,Oranye,Manual,4X2,Hatchback,<1.000 cc,94000000
Daihatsu,Lain-lain,Espass,1997,95.000-100.000 km,Bensin,Coklat,Manual,4X2,Van,>1.500 - 2.000 cc,35000000
Honda,RS,Brio,2017,15.000-20.000 km,Bensin,Putih,Manual,?,?,?,132000000
BMW,528i E39 2.8,Serie 5,1997,130.000-135.000 km,Bensin,Silver,Automatic Triptonic,?,?,?,65000000
Daihatsu,TX,Terios,2012,75.000-80.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),SUV,>1.000 - 1.500 cc,137500000
Nissan,1.2,March,2012,30.000-35.000 km,Bensin,Silver,Manual,?,?,?,83500000
Toyota,G,Calya,2017,15.000-20.000 km,Bensin,Silver,Automatic,4X2,SUV,>1.000 - 1.500 cc,125000000
Toyota,G TRD,Fortuner,2012,70.000-75.000 km,Diesel,Hitam,Automatic,4X2,MPV,>2.000 - 3.000 cc,240000000
Toyota,G,Altis,2008,175.000-180.000 km,Bensin,Silver,Automatic,?,Sedan,>1.500 - 2.000 cc,100000000
Toyota,G,Calya,2017,35.000-40.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),MPV,>1.000 - 1.500 cc,118000000
Suzuki,GX,Wagon R,2014,25.000-30.000 km,Bensin,Hitam,Manual,?,?,?,75000000
Honda,Lain-lain,Freed,2010,85.000-90.000 km,Bensin,Silver,Automatic,?,Minibus,?,143000000
Toyota,S,Avanza,2007,105.000-110.000 km,Bensin,Silver,Automatic,4X2,Minibus,>1.000 - 1.500 cc,85000000
Honda,E CVT,HR-V,2017,15.000-20.000 km,Bensin,Merah,Automatic Triptonic,Front Wheel Drive (FWD),Coupe,>1.000 - 1.500 cc,253756888
Toyota,Q,Sienta,2019,0-5.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Van,?,257850000
Toyota,G,Innova,2010,105.000-110.000 km,Bensin,Hitam,Manual,4X2,MPV,>1.500 - 2.000 cc,138000000
Suzuki,Lain-lain,SX4,2008,115.000-120.000 km,Bensin,Abu-abu,Manual,?,Minibus,?,70000000
Toyota,Lain-lain,Lain-lain,1990,20.000-25.000 km,Bensin,Hitam,Manual,Front Wheel Drive (FWD),Sedan,>1.000 - 1.500 cc,27000000
Nissan,Lain-lain,X-Trail,2005,95.000-100.000 km,Bensin,Hitam,Automatic,4X2,SUV,>2.000 - 3.000 cc,72000000
Mercedes-Benz,Lain-lain,Lain-lain,1995,100.000-105.000 km,Diesel,Putih,Manual,4X2,Bus,>3.000 cc,85000000
Toyota,G,Yaris,2014,20.000-25.000 km,Bensin,Abu-abu,Automatic,?,?,>1.000 - 1.500 cc,144000000
Toyota,V Diesel,Innova,2008,100.000-105.000 km,Diesel,Abu-abu,Automatic,Rear Wheel Drive (RWD),MPV,>2.000 - 3.000 cc,155000000
Daihatsu,1.2 X,Sigra,2018,25.000-30.000 km,Bensin,Silver,Automatic,?,?,>1.000 - 1.500 cc,120000000
Mitsubishi,Dakar,Pajero Sport,2015,85.000-90.000 km,Diesel,Putih,Automatic Triptonic,4X2,Jeep,>2.000 - 3.000 cc,323000000
Toyota,G,Fortuner,2015,45.000-50.000 km,Diesel,Putih,Automatic,4X2,?,>2.000 - 3.000 cc,299000000
Suzuki,?,Carry Pick-up,2019,0-5.000 km,Bensin,Putih,Manual,?,?,?,112600000
Mitsubishi,Dakar 2.4,Pajero Sport,2015,135.000-140.000 km,Diesel,Putih,Automatic,4X2,SUV,>2.000 - 3.000 cc,300000000
Honda,Satya E,Brio,2018,15.000-20.000 km,Bensin,Merah,Manual,4X2,Minibus,>1.000 - 1.500 cc,135000000
Toyota,Lain-lain,Kijang Pick-Up,<1986,0-5.000 km,Bensin,Biru,Manual,4X2,Pick-up,>1.000 - 1.500 cc,14750000
Peugeot,ST,306,1998,130.000-135.000 km,Bensin,Silver,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,32000000
Toyota,Lain-lain,Lain-lain,<1986,150.000-155.000 km,Bensin,Merah,Manual,4X4,Classic Car,>1.000 - 1.500 cc,18000000
Honda,S,Jazz,2011,75.000-80.000 km,Bensin,Merah,Manual,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,135000000
