Daihatsu,R 1.3 DLX,Xenia,2013,45.000-50.000 km,Bensin,Hitam,Manual,4X2,Minibus,>1.000 - 1.500 cc,Individu,102000000
Toyota,Agya,TRD Sportivo,2017,15.000-20.000 km,Bensin,Hitam,Automatic,Front Wheel Drive (FWD),Compact & City Car,>1.000 - 1.500 cc,Individu,135000000
Honda,Brio,E,2014,65.000-70.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Hatchback,>1.000 - 1.500 cc,Individu,106000000
Toyota,Innova,V,2009,110.000-115.000 km,Bensin,Hitam,Automatic,Rear Wheel Drive (RWD),MPV,>1.500 - 2.000 cc,Individu,125000000
Jeep,Sport Unlimited,Wrangler ,2012,30.000-35.000 km,Bensin,Putih,Automatic,4X4,Jeep,>3.000 cc,Diler,755000000
Toyota,TRD Sportivo,Agya,2016,30.000-35.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Compact & City Car,>1.000 - 1.500 cc,Diler,105000000
BMW,325i 2.5,Serie 3,2011,65.000-70.000 km,Bensin,Hitam,Automatic Triptonic,4X2,Sedan,>2.000 - 3.000 cc,Individu,243000000
Mitsubishi,Outlander,Lain-lain,2013,75.000-80.000 km,Bensin,Abu-abu,Automatic Triptonic,Front Wheel Drive (FWD),SUV,>1.500 - 2.000 cc,Diler,Bursa Mobil WTC Mangga Dua,162000000
Toyota,G,Rush,2010,100.000-105.000 km,Bensin,Silver,Manual,4X2,Jeep,>1.000 - 1.500 cc,Individu,125000000
Honda,E,Brio,2015,35.000-40.000 km,Bensin,Hitam,Manual,All Wheel Drive (AWD),Sedan,>1.000 - 1.500 cc,Individu,Bursa Otomotif Sunter,90000000
Honda,2.0,CR-V,2004,110.000-115.000 km,Bensin,Hitam,Manual,>1.500 - 2.000 cc,72000000
Honda,Mobilio,E,2014,50.000-55.000 km,Bensin,Hitam,Automatic,4X2,Sedan,>1.000 - 1.500 cc,Individu,130000000
Toyota,V,Sienta,2018,10.000-15.000 km,Bensin,Silver,Automatic,>1.000 - 1.500 cc,211000000
Mazda,Lain-lain,Lain-lain,1990,150.000-155.000 km,Bensin,Abu-abu,Manual,Front Wheel Drive (FWD),Sedan,>1.500 - 2.000 cc,Individu,26000000
Nissan,Grand livina,2012,95.000-100.000 km,Bensin,Abu-abu,Manual,Individu,85000000
Jeep,Wrangler ,Rubicon Unlimited,2011,25.000-30.000 km,Bensin,Putih,Automatic,Jeep,>3.000 cc,Individu,710000000
Toyota,G,Innova,2012,100.000-105.000 km,Bensin,Silver,Manual,Rear Wheel Drive (RWD),Minibus,>1.500 - 2.000 cc,Diler,168000000
Honda,Jazz,i-DSI,2004,15.000-20.000 km,Bensin,Merah,Automatic Triptonic,4X2,Sedan,>1.000 - 1.500 cc,Individu,73000000
Daihatsu,Sigra,1.2 R,2017,15.000-20.000 km,Bensin,Putih,Automatic,Front Wheel Drive (FWD),Minibus,>1.000 - 1.500 cc,Individu,109000000
Mitsubishi,Pajero Sport,Dakar,2016,60.000-65.000 km,Diesel,Putih,Automatic,4X4,Jeep,>2.000 - 3.000 cc,Individu,Bursa Gading Auto Center,492000000
